Title,Year,Released,Genre,Director,Actors,Plot,Language,Country,IMDB Rating
Khuda Haafiz,2020,14-Aug-20,"Action, Crime, Drama",Faruk Kabir,"Vidyut Jammwal, Shivaleeka Oberoi, Annu Kapoor",Samir and Nargis get married but soon recession takes place globally.Sameer's IT business shuts and Nargis also looses her job they apply for a job in Noman where both get selected while Nargis has to reach first.Before Sameer could leave he gets call from Nargis that she isn't at safe place and needs help. Sameer takes the help of cops and flies to Noman where he is helped by a Pakistani Taxi driver Usman.Sameer manages to find Nargis but before he could take her he is attacked by goons where he creates havoc and gets imprisonment.,Hindi,India,7.1
Captain Vidyut,2020,27-Nov-20,"Animation, Action, Comedy",Atish Tripathi,"Namit Das, Trisha Kale, Suresh Menon","Scrolling through amazon prime.. I came across this movie.. And it turned out to be a complete delight.. I laughed, laughed and I laughed.. Very entertaining . I am sure kids and adults will Love the movie... Hope the team makes it in to a series",Hindi,India,7.3
Class of '83,2020,21-Aug-20,"Action, Crime, Drama",Atul Sabharwal,"Bobby Deol, Anup Soni, Joy Sengupta","A hero policeman shunted to a punishment posting as the Dean of the police academy decides to punish the corrupt bureaucracy and its criminal allies in return by training five lethal assassin policemen. But, like all good plans, it only works for a while until the fire that he has ignited threatens to burn his own house down.",Hindi,India,5.8
Mee Raqsam,2020,21-Aug-20,Drama,Baba Azmi,"Aditi Subedi, Danish Husain, Naseeruddin Shah","It revolves around a young girl's aspiration to become a dancer, but coming from a small village like Mijwan, everyone questions her dreams and choices. It's only her father who trusts, supports and helps her in this journey of achieving her dream.",Hindi,India,6.7
Sadak 2,2020,28-Aug-20,"Action, Drama",Mahesh Bhatt,"Alia Bhatt, Priyanka Bose, Sanjay Dutt",Aarya Desai is on mission to expose fake Godman Gyan Prakash whom she also holds responsible for death of her mother.But Arya is captured and sent to asylum by her step mother Nandini and gang of Gyan Prakash from where she escapes.Ravi runs a tours and travel business he gets hallucinations of dead wife Pooja and wants to commit suicide.Arya comes to Ravi to hire his taxi and take her to Kailash mountains at first he ignores her but decides to help after finding her story. Vishal boyfriend of Arya joins them on the trip but Ravi is suspicious about him and gets feelings from inside and Pooja's hallucinations that he should help Arya in what she is doing in order to expose the Gyan Prakash.,Hindi,India,1.2
Ram Singh Charlie,2020,28-Aug-20,Drama,Nitin Kakkar,"Kumud Mishra, Divya Dutta, Salima Raza","Ram Singh used to play Charlie's role in a circus. But the owners of the circus shut down the circus, now Ram Singh has nothing left to live on in life, he starts to run Rickshaw for livelihood, But then one day his wife advises him that he should start the circus again, Accepting his wife, he starts trying to start the circus again. But then suddenly something happens, That his dream remains incomplete, After all, what happened that Charlie could not fulfill his dream.",Hindi,India,7.9
Atkan Chatkan,2020,05-Sep-20,"Drama, Musical",Shiv Hare,"Lydian Nadhaswaram, Sachin Chaudhary, Tamanna Dipak","It is probably the closest musical that will touchy anyone that is musically inclined, anyone that considers music as an integral part of existence. This story is about one such boy who did not even know how or why he is so much into percussion, since he lives with his dad who is just a depressed alcoholic as far as he can remember and he only has a faint memory of his mom that walked out on them ( or so he was told ) long time back. The story manifests into soul touching incidents to help him realize his musical dream , also reuniting his parents and building great ethical friendships' along this journey with age knowing no limits when it comes to a bond - foundation made purely on the basis of music .",Hindi,India,7.7
Cargo,2020,06-Mar-20,"Short, Music",Christina Tournatzés,"Zainab Alsawah, Yordan Danchev, Bader Khlifi",71 refugees fight for their survival when they are smuggled in an airtight truck from the Serbian-Hungarian border to Austria. Despite the ever louder screams - and the simultaneous interception of the smuggling gang by the Hungar...,"Bulgarian, English, Arabic","United States, Germany",
London Confidential,2020,18-Sep-20,"Crime, Drama, Thriller",Kanwal Sethi,"Mouni Roy, Purab Kohli, Kiren Jogi",RAW's London Station have worked to get incriminating evidence against the Chinese Communist Party's involvement with the spread of the virus and are close to getting the final piece of evidence. The Chinese get wind of it through a mole in the Indian embassy. The Grocery Store works as a cover for a RAW outpost and the RAW operatives are all underground and have a cover.,Hindi,India,5.9
Halahal,2020,21-Sep-20,"Crime, Drama, Mystery",Randeep Jha,"Barun Sobti, Sachin Khedekar, Purnendu Bhattacharya",The Murder of a college girl morphed into a suicide takes Dr. Shiv on a journey to dig the truth out of his daughter's murder.,Hindi,India,7
Khaali Peeli,2020,02-Oct-20,"Action, Comedy, Romance",Maqbool Khan,"Ishaan Khattar, Ananya Panday, Sayeem Afran","Khaali Peeli is an action drama wherein a taxi driver picks up a girl on the run and what follows isa crazy, roller-coaster of a ride. His past and present circumstances have made him fearless. His taxi always moves in top gear and he will go all the way to get what he wants. She is a bag full of surprises and believes that nobody except her, can decide her future. She may look innocent and vulnerable but certainly isn't..",Hindi,India,2.5
Serious Men,2020,02-Oct-20,"Comedy, Drama","Sudhir Mishra, Sachin Krishn","Nawazuddin Siddiqui, Nassar, Aakshath Das","Tormented with his 'under-privileged' societal status, a father capitalizes on his son's newfound fame as a boy-genius. Little does he realize that the secret he harbors will destroy the very thing he loves the most.","English, Hindi",India,6.8
Ginny Weds Sunny,2020,09-Oct-20,"Comedy, Drama, Romance",Puneet Khanna,"Yami Gautam, Vikrant Massey, Ayesha Raza Mishra","Delhi girl Ginny lives with her matchmaker mother and is set up with Sunny, who has given up on the idea of love. He just wants to get married and settle down. But, the match is not that simple. As Ginny meets Sunny, there's a lot more that comes to the fore than previously imagined in this tale of love, life, weddings and music.",Hindi,India,5.7
Comedy Couple,2020,21-Oct-20,"Comedy, Romance",Nachiket Samant,"Saqib Saleem, Shweta Basu Prasad, Pooja Bedi",A story about two comedian couples and the up and downs between their parternship.,Hindi,India,7.4
Taish,2020,29-Oct-20,"Action, Thriller",Bejoy Nambiar,"Harshvardhan Rane, Jim Sarbh, Pulkit Samrat","Rohan and Sunny are best friends from their childhood days. Sunny goes to attend Rohan's younger brother's weeklong wedding in a scenic country estate in UK. The boys look at this as an opportunity to catch up and let loose - unabashed and fun revelry dotting the weeklong affair. Somewhere else in the dark grimy corners of South Hall London, a violent criminal family of moneylenders is headed by Kuljinder with his two brothers Pali and Jassi. Pali has been planning to quit the family business and start life afresh with Kuljnder's wife Jahaan with whom he has been having an affair. But fate has other plans for him. Both these world collides when Kuljinder comes to attend the wedding in the country side. A past secret connected to Rohan and Kuljinder sparks an incident of violence which then kick starts a chain of violence changing all their lives drastically. Taish is a story of friendship and loss of innocence narrated in the format of intense thriller.","Hindi, Punjabi",India,7.3
Kaali Khuhi,2020,30-Oct-20,"Drama, Horror, Mystery",Terrie Samundra,"Shabana Azmi, Sanjeeda Sheikh, Satyadeep Misra",In stormy rainy night a girl enters an house the old lady gives her shelter but collapses after knowing about her.Shivangi a ten year old sees reflection in a well which she wasn't expecting her parents Darshan and Priya have an argument over going to visit the village to meet her ailing grandmother whose the same old lady.Upon reaching the village Shivani starts seeing a girl in the house and nothing seems to be fine.Satya Masi finally revels about and old curse of village where many female babies were dumped in a well in cruel way.,Hindi,India,3.7
Pepper Chicken,2020,06-Nov-20,Thriller,Ratan Sil Sarma,"Dipannita Sharma, Boloram Das, Monuj Borkotoky","The plot of the movie revolves around a female Radio Jockey, who gets in a cab at night to go home, but halfway through the journey, the cab suddenly breaks down. In search of help, the cab driver and the RJ enter an old house. As they enter, they realise the house has been abandoned for many years. Is there any connection between the house and the cab driver? Will the RJ be able to escape the house? What unravels over the course of the night is a tale of mysteries, unexpected twists, and shocking revelations from the past, that dare to scar the present.",Hindi,India,5.3
Laxmii,2020,09-Nov-20,"Action, Comedy, Horror","Raghava Lawrence, Balakrishnan Thevar","Akshay Kumar, Kiara Advani, Sharad Kelkar",Asif and Rashmi married without the wishes of their parents and are living happily.Rashmi's mother invites them for their 25th wedding anniversary by forgetting the past her house is located at a place where a nearby bungalow number 6 is said to be haunted Asif goes to play cricket out there with kids where he places the stumps not realizing that a corpse is buried under it.Rashmi's mother Ratna and sister in law Ashwini notice a black shadow in the house and take help of spiritual guru who tells that the house has a powerful spirit.Asif gets possessed by the spirit and starts to behave and act like female wearing bangles and calling himself Laxmi.,"Hindi, English",India,2.5
Ludo,2020,12-Nov-20,"Action, Comedy, Crime",Anurag Basu,"Rajkummar Rao, Abhishek Bachchan, Pankaj Tripathi","From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal. Now these misfits, miscreants, lovers and losers are all unwitting pawns in this unpredictable game. The only way home? Keep playing.",Hindi,India,7.6
Chhalaang,2020,13-Nov-20,"Comedy, Drama, Sport",Hansal Mehta,"Rajkummar Rao, Nushrratt Bharuccha, Mohd. Zeeshan Ayyub","Chhalaang is a hilarious, yet inspirational journey of Montu, a PT Master from a semi govt. funded school for whom teaching PT is just a job. When circumstances put everything he cares for at stake, including Neelu who he loves, Montu is forced to do what he's never done- TEACH. Through his journey, the film humorously addresses the value of Sports Education in school curriculum.",Hindi,India,6.7
Namumkin Tere Bin Jeena,2020,27-Nov-20,"Drama, Romance",Hidayat Khan,"Muntazir Ahmad, Christeena Biju, Princy Biju","NAMUMKIN Tere Bin Jeena is a intence love story about how the pride,the acceptances of the Differences play major part in separation even when love exists.",Hindi,India,5.2
Dracula Sir,2020,21-Oct-20,"Crime, Thriller",Debaloy Bhattacharya,"Anirban Bhattacharya, Mimi Chakraborty, Supriyo Dutta","This movie shows the lives of two people, one is Raktim who is a temporary bengali teacher and he has two yard teeth for which people make fun of him, and the other one is Amal who is a Naxal. This movie is about the connection and relationship between the two of them .",Bengali,India,7.4
Suraj Pe Mangal Bhari,2020,15-Nov-20,Comedy,Abhishek Sharma,"Manoj Bajpayee, Fatima Sana Shaikh, Karishma Tanna","In the 1990s, a wedding detective has to perform background checks on prospective grooms. In the time before social media and mobile phones, everything has to be done in person.",Hindi,India,5.9
Ala Vaikunthapurramuloo,2020,11-Jan-20,"Action, Comedy, Drama",Trivikram Srinivas,"Allu Arjun, Pooja Hegde, Tabu","The narrative revolves around Bantu (Allu Arjun), a skilled middle-class man who is despised and often neglected by his father Valmiki (Murali Sharma). What Bantu doesn't know is that he's actually the son of a businessman swapped by Valmiki with his own son to give the latter a comfortable life. A violent incident draws Bantu closer to the truth, upon learning which he decides to enter Vaikunthapuram, the home of his real parents and eventually confront those who threaten his family.",Telugu,India,7.3
Run,2020,20-Nov-20,"Drama, Horror, Mystery",Aneesh Chaganty,"Sarah Paulson, Kiera Allen, Sara Sohn","Chloe, a teenage wheelchair user, is home schooled by her mother, However, her mother's strange behavior doesn't go unnoticed and when Chloe pries into some private papers, she discovers a Change of Name Certificate document with her mother's name, Diane Sherman, on it. When Chloe googles ""Diane Sherman,"" the internet suddenly disconnnects. Chloe becomes suspicious of all that her mother does, suspecting her of something sinister. She decides to go on the run in her wheelchair in a desperate attempt to get away from her.",English,"United States, Canada",6.7
Krishna and His Leela,2020,25-Jun-20,"Comedy, Romance",Ravikanth Perepu,"Sidhu Jonnalagadda, Shraddha Srinath, Seerat Kapoor","Torn between his past and present girlfriends, a confused bachelor's indecisiveness spins a web of lies and cheating as he struggles to commit.",Telugu,India,5.7
47 Days: The Mystery Unfolds,2020,30-Jun-20,"Drama, Mystery, Thriller",Pradeep Maddali,"Satyadev Kancharana, Pooja Jhaveri, Roshini Prakash","Satya, a Suspended Cop, who lost his wife in mysterious circumstances, unexpectedly gets hold of a case which relates to his wife's death. He's starts investigating which eventually hunts down his past and brings chaos in his life. How Satya solved the mystery surrounding him forms the rest of the story.",Telugu,India,5.2
Bhanumathi & Ramakrishna,2020,03-Jul-20,"Comedy, Drama, Romance",Srikanth Nagothi,"Darbha Appaji Ambarisha, Naveen Chandra, Raja Chembolu","Bhanumathi Ramakrishna is a romantic comedy which gives a glimpse into the lives of the two characters - Bhanumathi (played by Salony) and Ramakrishna (played by Naveen). Ramakrishna migrates to Hyderabad from Tenali, in search of greener pastures and meets Bhanumathi - a no-nonsense urban woman. The movie revolves around seeking out love in your thirties, post-breakup stress, and the cultural difference between urban and rural India.",Telugu,India,7
Uma Maheswara Ugra Roopasya,2020,30-Jul-20,Drama,Venkatesh Maha,"Satyadev Kancharana, V.K. Naresh, Suhas","After getting beaten up and insulted by the town bully, a softhearted simpleton Mahesh vows to be barefoot until he gets his revenge.",Telugu,India,7.6
Meka Suri,2020,31-Jul-20,"Crime, Thriller",Trinadh Velisila,"Abhinay, Naresh Byreddy, Sharat Kumar","Plot surrounds MekaSuri, who in verge of revenge for his Rani. The plot involves many characters who made mekasuri a calm going person a manhunter eventually making him a most wanted criminal. A gripping revenge drama. What makes Suri to avenge. Who are the characters involved in mekasuri life, what happened to Rani, why police are in search of him.",Telugu,India,6.5
Johaar,2020,14-Aug-20,Drama,Teja Marni,"Esther Anil, Rajsekhar Aningi, Chalapathi Rao","A gripping tale around the lives of five people grappling for their dreams when a young politician, suddenly in the hot seat of power, makes the life-altering decision of setting his father's legacy to stone by hook or by crook.",Telugu,India,7.2
V,2020,05-Sep-20,"Action, Crime, Thriller",Mohana Krishna Indraganti,"Nani, Sudheer Babu Posani, Nivetha Thomas","DCP Aditya, a celebrated cop, faces his most unsettling case yet involving a mysterious serial killer who has been brutally killing his targets and leaving behind notes challenging Aditya to nab him. Teaming with Apoorva, an aspiring crime novelist, and the police force, Aditya finds himself walking on thin ice upon discovering the killer has another challenge for him: to prevent four more murders from happening or give up his medals and resign. What he is yet to find out is the killer's past and his desperation to carry out the killing spree without fail.",Telugu,India,6.8
Maguva,2020,05-Sep-20,Thriller,Sriram Yedhoti,"Suresh Babu, Harishchandhra, Madhupriya",About a software Techie(Janani) and A Brutal Rapist gang who tried to Assassinate Janani And later how Janani escaped from that gang with her intelligence by throwing the strongest and emotional weapon called Love.,Telugu,India,7.1
Amaram Akhilam Prema,2020,18-Sep-20,"Drama, Romance",Jonathan Edwards Vesapogu,"Keshav Deepak, Naresh Garu, Srikanth Iyengar","Right from her childhood, Akhila(Shvashakti Sachdev) is very close to her dad(Srikanth Iyengar). The father and daughter cannot live without each other but a major mistake done by Akhila creates a rift between the two. This is also the time, Akhila comes to Hyderabad to undergo her IAS coaching. There, a young guy named Amar(Vijay Ram) starts wooing her. At first, Akhila says no to Amar but gets attracted to him later. The rest of the story is as to how Akhila wins her father's love all over again and also gets her love story successful.",Telugu,India,7.2
Nishabdham,2020,02-Oct-20,"Horror, Mystery, Thriller","Hemant Madhukar, Anunagaveera","Anushka Shetty, Madhavan, Anjali","Sakshi, a talented artist who is deaf and mute, gets entangled in a criminal investigation when she unexpectedly witnesses a tragic incident that occurs in a villa with a reputation for being haunted. With a team of police detectives determined to get to the bottom of the case and the list of suspects ranging from a ghost to a missing young girl, Nishabdham promises to be an edge-of-the-seat thriller that will keep the audience guessing until the very end.","English, Malayalam, Telugu, Tamil",India,4.3
Colour Photo,2020,23-Oct-20,Drama,Sandeep Raj,"Suhas, Chandini Chowdary, Sunil","Jayakrishna is a dark-skinned guy who falls head over heels on Deepu but keeps his feelings to himself. As time passes by, a gang in his college beats him up and this issue brings Deepu closer to him. Slowly the friendship turns into love and this does not go well with Deepu's brother Rama Raju.","Telugu, Hindi",India,8.1
Miss India,2020,04-Nov-20,Drama,Narendra Nath,"Keerthy Suresh, Naveen Chandra, Sumanth Shailendra","Samyukta is determined to become a self-made success. To do this, she plans to sell Indian Chai overseas. She embarks on a remarkable journey where she fights the entire world around her, along with the traditional beliefs of her very own family.","Telugu, Tamil",India,3.7
Gatham,2020,06-Nov-20,Thriller,Kiran Kondamadugula,"Bhargava Poludasu, Rakesh Galebhe, Poojitha Kuraparthi","Rishi (Rakesh Galebhe) and his girlfriend Adithi (Poojitha Kuraparthi) set out on a journey by road to visit Rishi's father and their car breaks down en route. A stranger (Bhargava Poludasu) offers them a stay at his house and as their stay extends, Rishi gets nightmares and the stranger behaves freakishly. With each passing moment, there are startling twists, and many dots between Rishi's past and the stranger get connected which leaves the couple shell-shocked. What is Rishi's connection with the stranger and how does he and his girlfriend come out of the weird situation is the story of Gatham.",Telugu,United States,6
Maa Vintha Gaadha Vinuma,2020,13-Nov-20,Romance,Aditya Mandala,"Sidhu Jonnalagadda, Seerat Kapoor, Tanikella Bharani","College-goer who ogles at girls and doesn't seem to have a purpose in life. When he starts wooing one girl, a range of events follows.",Telugu,India,6.2
Middle Class Melodies,2020,20-Nov-20,"Comedy, Drama, Romance",Vinod Anantoju,"Anand Deverakonda, Varsha Bollamma, Abhiram","This light-hearted comedy-drama depicts the congenial lives of the middle class in a village--their dreams, beliefs, struggles, and hopes--and the ambitions of a young man who moves to the nearby city to pursue his fond dream of owning a hotel.",Telugu,India,7.5
Meka Suri 2,2020,27-Nov-20,"Crime, Thriller",Trinadh Velisila,"Abhinay, Naresh Byreddy, Sahithi Dasari","The story starts with a time lapse of 20 years. Suri is now a most-wanted criminal. Top cop Arjun is assigned the case to trace Suri and put him behind the bars. But the only information Arjun has of Suri is that he was shot dead years ago. Arjun does not even know how Suri looks now or where he is. He goes to Raghuram in search of clues but in vain. He gets to know the entire revenge story and also the reason why Suri became a criminal. After great efforts, Arjun is able to track Suri. He tries to trap Suri through a sting operation but it backfires. Suri is too smart for Arjun and throws him an open challenge by giving him names of the people he is going to kill. He challenges Arjun to stop him if he can. In spite of Arjun's perfect planning, Suri outsmarts Arjun again. But finally Arjun finds a loophole of Suri. He finds out that Suri had killed an innocent man unknowingly. And that man's 15-year-old son wants to take revenge from Suri. Arjun makes him realise that the path of killings has never taken anyone to the right path, It always ends badly. Suri realises and surrenders .",Telugu,India,6.2
BomBhaat,2020,03-Dec-20,"Action, Comedy, Sci-Fi",Raghavendra Varma Indukuri,"Sai Sushanth Reddy, Simran Choudhary, Chandini Chowdary","With luck never on his side, a young robotics engineer constantly battles his comedic misfortune. But things take a serious turn once he becomes entangled in an epic revenge story between his God Father and the Mad Scientist, who is chasing a dangerously powerful formula. A tale of twisted love, with sparks of Sci-Fi, and a deadly plot of vengeance. Will the power of science finally triumph over fate?",Telugu,India,4.5
IIT Krishnamurthy,2020,10-Dec-20,"Drama, Mystery",Sreevardhan,"Prudhvi Dandamudi, Vinay Varma, Maira Doshi",Krishnamurthy Who Is An IIT BOMBAY Student Comes To Hyderabad And Gets To Know That His Uncle Is Missing. Entire Story Revolves Around The Mysterious Missing Case Of Krishnamurthy's Uncle.,Telugu,India,5.9
Guvva Gorinka,2020,17-Dec-20,Romance,Mohan Babu Bammidi,"Satyadev Kancharana, Priya Lal, Priyadarshi Pulikonda","Sirisha (Priya Lal), grows up living in her beautiful dream aspires to major in music but has to promise her father that she would marry the man he chooses if she wants to moves to the city and learn violin.",Telugu,India,5.1
Dirty Hari,2020,11-Apr-20,"Drama, Romance, Thriller",M.S. Raju,"Shravan Reddy, Simratt Kaur Randhawa, Ruhani Sharma","Hari is a man torn between his wife Vasudha and Jasmine. In his greed to lust after both, will he end up losing everything?",Telugu,India,5.6
Murder,2020,24-Dec-20,Thriller,"Anand Chandra, Ram Gopal Varma","Sahithi Avancha, Gayatri Bhargavi, Keshav Deepak","After his beloved daughter elopes with an unworthy person, an emotional father chooses the hard path to make the corrections.",Telugu,India,4.2
Solo Brathuke So Better,2020,25-Dec-20,"Comedy, Drama, Romance",Subbu,"Sai Dharam Tej, Nabha Natesh, Kathryn Davison","'Solo Brathuke So Better' is a love story between a young man who believes and preaches his philosophy of staying single in his college days, and a young woman who takes his ideology to next level agtr the man leaves the college. What happened when he realizes that his philosophy is wrong over a period of time with his real life experiences and decides to get married and meets the same woman who has idolised his over the years in the same college and who followed his philosophy to the next level forms the cruz of the story.",Telugu,India,5.5
Nail Polish,2021,01-Jan-21,Drama,Bugs Bhargava Krishna,"Arjun Rampal, Manav Kaul, Anand Tiwari","36 children have been brutally killed and burned in and around Lucknow. This crime wave lasts for five years without anyone being arrested or charged. A newly appointed police officer, faced with two more such killings, stumbles upon clues that lead him to arrest a very surprising suspect. The trial seems to be proceeding as expected when it takes a totally unexpected twist that throws the court room into turmoil, creating an emotional and psychological roller coaster that hurtles to an ending that will leave the audience thinking long and hard.",Hindi,India,7.2
Kaagaz,2021,07-Jan-21,"Biography, Comedy, Drama",Satish Kaushik,"Pankaj Tripathi, Monal Gajjar, Mita Vashisht",Kaagaz is an upcoming movie based on real life story of a Farmer who struggles hard to make himself come alive again because of being declared death on papers. The farmer's character is been played by Pankaj Trpathi. It also stars Amar Upadhyay as the main negative lead in the movie. The rest of the star cast is not yet confirmed.,Hindi,India,7.3
The Power,2021,08-Apr-21,"Horror, Mystery, Thriller",Corinna Faith,"Mark Smith, Marley Chesham, Rose Williams",1974: a young nurse is forced to work the night shift in a crumbling hospital as striking miners switch off the power across Britain. But inside the walls lurks a terrifying presence that threatens to consume her and everyone around her.,English,"United Kingdom, United States",5.5
Bolo Hau,2021,15-Jan-21,"Comedy, Romance",Tarun Dhanrajgir,"Jahnavi Dhanrajgir, Adnan Sajid Khan, Preeti Nigam, Ankit Rathi",,Hindi,India,
Tribhanga,2021,15-Jan-21,"Drama, Family",Renuka Shahane,"Kajol, Tanvi Azmi, Mithila Palkar",The lives of three women spanning the late 1980s to present day and underscores the value of family in everyday life.,Hindi,India,6.2
Jamun,2021,21-Jan-21,"Drama, Family",Gaurav Mehra,"Raghubir Yadav, Shweta Basu Prasad, Sunny Hinduja",A dysfunctional family who overcomes their individual difficulties.,Hindi,India,7.2
Madam Chief Minister,2021,22-Jan-21,Drama,Subhash Kapoor,"Richa Chadha, Manav Kaul, Saurabh Shukla",The right of a woman to live with dignity has always been at crossroads with society's norms.,Hindi,India,4.9
Machaan,2021,22-Jan-21,"Drama, Romance","Nitesh Tiwari, Vishalkumar Bharatbhai Nai","Richa Kalra, Prateek Goyal, Mahmood Hashmi","All villagers started driving off Bhola with fire, lathis, lanterns, etc. To throw him out of village. Bhola pleaded that he would never enter the village, but villagers started pelting stones over him, and soon Bhola stopped breathing.",Hindi,India,5.4
Om Shri Satya Sai Baba,2021,29-Jan-21,Biography,Vicky Ranawat,"Arun Bakshi, Sudhir Dalvi, Babanrao Gholap","Satya Sai Baba was a renowned religious guru and Producer Balkrishn Shrivastav and director Vicky Ranawat have come together to make a biopic on him. The film will release on January 22 all over the world in Cinemas.It is said that Satya Sai Baba was the incarnation of Sai Baba of Shirdi. Millions of people who believed in Sai have the same belief. Sathya Narayan, who was born from the womb of Ishwar Amma in 1926, later became Sathya Sai Baba. At the age of five, he declared himself to be God. And these things were also proved by the people when he performed miracles.From former President of the country Late Abdul Kalam Azad to superstar Rajnikanth ,Aishwarya Rai Bachchan and God of Indian cricket Sachin Tendulkar many people believed in him. The small village Putapurti, which did not have roads and infrastructure, today has world-renowned hospitals, music and education centres and many other facilities for the common man. Despite taking Samadhi, even today, millions of people who believe in him, believe that he will again incarnate as Prem Sai.The film will have Anup Jalota, Sadhika Randhawa, Jackie Shroff, Govind Namdev , Murli Sharma, Arun Bakshi ,Mushtaq Khan , Babanrao Gholap in important roles. Sudhakar sharma has written the lyrics which are composed by Bappi Lahiri ,Sumeet Tappu . Babban Rao Ghulap of Atman Films presents the film produced by Balkrishn Shrivastav of A One Creation . The film is co-produced by Subhash Sehgal,Ankita and Nikita Shrivastav . Sachindra Sharma has written the story of the film.","Hindi, English",India,
Lahore Confidential,2021,04-Feb-21,"Crime, Drama, Thriller",Kunal Kohli,"Richa Chadha, Fareed Khan, Abdullah Osman","The Story revolves around a humble, divorced Indian woman named Ananya and amidst her mundane-routine life, she finds herself on a secret intelligence duty in Pakistan. But her love for Urdu literature will have her falling in love that will eventually put them in a tug of war with each other.",Hindi,India,2.9
Sakshi,2021,28-May-21,Drama,Surya Sundar,"Ananthu, Saran Dev, Vinod Guiness",,Malayalam,India,8
Bawri Chhori,2021,14-Feb-21,Drama,"Akhilesh Jaiswal, Umang Dev Shukla","Dhala Ram Prajapat, Md Faisal Ahmed, Sagar Arya",A young woman who has arrives in London from India to find and kill her husband.,Hindi,"United Kingdom, India",4.1
Tuesdays and Fridays,2021,19-Feb-21,"Comedy, Musical, Romance",Taranveer Singh,"Anmol Dhillon, Jhataleka Malhotra, Niki Walia","To avoid the burden of commitment, a young lawyer and a writer agree to be romantic partners only two days a week. That won't get complicated - right?",Hindi,India,4.5
Tank Cleaner,2021,19-Feb-21,"Crime, Thriller","Parvinder Singh Wraich, Jatinkumar Jagdishbhai Patel, Harkiran Kaur Wraich","Sunny Gill Ambersariya, Happy BanMajra, Kulwant Kaur Bhatia","A young orphan boy does odd jobs to earn a living for himself and his younger brother and grandmother. He works as a waiter in a restaurant in the evening and cleans water tanks in the day time. One day when he was cleaning a water tank someone traps him inside the tank. No one knows about his whereabouts, Police searches for him and works on different theories to find him. He tries his best to come out and he sends many signals from the tank about his presence in the tank but all his efforts get no results. Twice a day this water tank gets filled with water. He struggles for his life in the tank for 4 days. His mental and physical conditions get bad to worse in 4 days.",Hindi,India,6.6
The Girl on the Train,2021,26-Feb-21,"Crime, Drama, Mystery",Ribhu Dasgupta,"Parineeti Chopra, Aditi Rao Hydari, Kirti Kulhari","An alcoholic divorcee takes the train daily to work which passes by a house she lived in and one day when something bad happens, she decides to investigate and become entangled in the process which surely makes her discover about her life and changes her.","Hindi, English",India,4
Roohi,2021,11-Mar-21,"Comedy, Horror","Hardik Mehta, Jaspal Singh","Rajkummar Rao, Janhvi Kapoor, Varun Sharma","Two friends Bahura Pandey and Khattani work for a goon Guiya Shakeel where they do Pakdaai Shaadi where a bride is kidnapped and forced to marry the one who loves her.They get a job to kidnap Roohi somehow they manage to complete it with much difficulty but Shakeel asks them to keep Roohi at an isolated place as the marriage gets postponed.Bahura is shocked to see that Roohi is not a normal but a possessed women while Khattani refuses to believe him,Bahura falls in love with innocent Roohi,while Khattani falls for possessed Afza.When Shakeel orders them to kill Roohi,Bahura decides to go against him and free Roohi from the spirit.",Hindi,India,4.3
Time to Dance,2021,12-Mar-21,"Musical, Romance",Stanley D'Costa,"Sooraj Pancholi, Isabelle Kaif, Waluscha De Sousa","When a ballroom dancer's shot at a crucial tournament is jeopardized, a street dancer must face his own painful past and step up as her new partner.",Hindi,India,2.4
Mumbai Saga,2021,19-Mar-21,"Action, Crime, History",Sanjay Gupta,"John Abraham, Emraan Hashmi, Mahesh Manjrekar","Amartya Rao lives a simple life with his father and younger brother Arjun,He gets in trouble with men of Gaitonde who extort money poor vegetable and fruit vendors.Amartya is put in prison where Gaitonde plans to kill him but he overcomes everyone and finds a friend for lifetime in Nari Khan a smuggler who helps in every point of life.Bhau a powerful politician bails Amartya and asks to work for him soon Amartya forms his own gang and is feared by everyone.Gaitonde joins hand with industrialist Khaitan and plans to finish Amartya but Khaitan is killed in broad day light by Amartya and his gang.Khaitan's wife then offers 10 Crore reward to a police officer who will encounter Amartya there enters encounter specialist Vijay Sawarkar whose only motive is to kill Amartya.",Hindi,India,5.8
Sandeep Aur Pinky Faraar,2021,19-Mar-21,"Comedy, Crime, Drama",Dibakar Banerjee,"Jaideep Ahlawat, Parineeti Chopra, Arjun Kapoor","Sandy Walia (Sandeep) an executive of Parivartan Bank is waiting for her boss Parichay for a dinner he does not turn up and one of her friend invites her for a party sometime later a Cop Satendra Dahiya (Pinky) comes with message from Parichay.Sandeep and Pinky travel in a same car where Sandeep gets annoyed with Pinky a she is frequently on call with his Boss Tyagi while driving,Pinky notices that at a check post an encounter takes place and realizes that it was for Sandeep and he would also be target in the same encounter.Pinky finds from Sandeep that she is pregnant with Parichay's child and that all her social media is hanged,Sandeep takes Pinky to same party for safety but she ties to login in her social media and gets tracked Tyagi.Pinky then plans to elope to Nepal and Sandeep asks him to take her along promising a good amount they reach an Indian village on Nepal border where Sandeep will revel to Pinky that she was part of a big scam in her bank and when she decided to part ways with her share Parichay planned to kill her.Tyagi's men are hunting Sandeep and Pinky like anything and want them dead at any cost.",Hindi,India,6.3
