Title,Year,Released,Genre,Director,Actors,Plot,Language,Country,IMDB Rating
Phir Aayi Hasseen Dillruba,2024,09-Aug-24,"Crime, Drama, Mystery",Jayprad Desai,"Taapsee Pannu, Vikrant Massey, Sunny Kaushal","While evading the cops in Agra, Rani and Rishu scheme to run away together. But when their plans go awry, Rani asks a mild-mannered admirer for help.",Hindi,India,5.8
Ghudchadi,2024,09-Aug-24,Family,Binoy Gandhi,"Sanjay Dutt, Raveena Tandon, Parth Samthaan",A middle-class father-son duo from Delhi in which a son-loving father doesn't want his son to get married with the love of his life and a father-loving son doesn't want his 60-year-old father to get married.,Hindi,India,4.2
Ghuspaithiya,2024,09-Aug-24,Drama,Susi Ganesan,"Shiv Aryan, Govind Namdev, Akshay Oberoi",Ghuspaithiya goes deep into the complexities of modern-day digital threats and its impact on our personal and professional lives. It also exposes the influence of social media and the challenges it poses to trust and privacy.,,India,9.3
Khel Khel Mein,2024,15-Aug-24,Comedy,Mudassar Aziz,"Akshay Kumar, Ammy Virk, Taapsee Pannu",Revolves around a group of friends who gather for a dinner and end up revealing secrets about each other.,Hindi,India,7.1
Vedaa,2024,15-Aug-24,"Action, Drama, Thriller",Nikkhil Advani,"John Abraham, Sharvari, Abhishek Banerjee","The journey of a young woman, who faces and resists a repressive system against portrayal of an antagonist.",Hindi,India,6.5
Sarkaaru Noukari,2024,01-Jan-24,Drama,Shekar Ganganamoni,"Sahithi Dasari, Tanikella Bharani, Bhavana Vazhapandal","In the year 1996, the entire nation was politically facing a serious issue. In addition, the country was suffering from another dangerous problem. In this scenario, a Government Employee took up the responsibility.",Telugu,India,
Deenamma Jeevitham,2024,05-Jan-24,Drama,Muorali Ramaswamy,"Dev Ballani, Priya Chohan, Saritha Chohan",Dev who is working in the film direction department after getting married he gets a call while taking his selfie on his mobile..,Telugu,India,6.6
Double Engine,2024,29-Mar-24,"Comedy, Drama, Family",Rohit Penumatsa,"Muni Myatari, Ajith Mohan, Rohit Narsimha","Danny and friends seek a mythic two-headed serpent, finding camaraderie and self-discovery during their fanciful quest.",Telugu,India,7.9
Raghava Reddy,2024,05-Jan-24,,Sanjeev Megoti,"Siva Kantamaneni, Raasi, Srinivasa Reddy",,Telugu,India,
Guntur Kaaram,2024,12-Jan-24,"Action, Drama",Trivikram Srinivas,"Mahesh Babu, Sreeleela, Meenaakshi Chaudhary","Years after his mother abandons him and remarries, a man demands answers when he's asked to sign a document denying he is her son as she runs for office.",Telugu,India,5.4
Hanu Man,2024,12-Jan-24,"Action, Adventure, Fantasy",Prasanth Varma,"Teja Sajja, Amritha Aiyer, Varalaxmi Sarathkumar",An imaginary place called Anjanadri where the protagonist gets the powers of Hanuman and fights for Anjanadri.,"Telugu, Hindi, Kannada, Malayalam, Tamil, English, Japanese, Chinese, Spanish, Korean",India,7.8
Saindhav,2024,13-Jan-24,"Action, Crime, Drama",Sailesh Kolanu,"Nawazuddin Siddiqui, Ruhani Sharma, Shraddha Srinath","The protagonist, with a past, has to cross paths with the underworld if he has to save his daughter from a health crisis and time is running out.","Tamil, Malayalam, Kannada, Hindi, Telugu",India,5
